OTU,20S20R1,7S7R100,9S9R100,3S3R100,21S21R1,22S22R1,8S8R100,6S6R100,2S2R100,5S5R100,16S16R1,17S17R1,1S1R100,15S15R1,18S18R1,19S19R1,14S14R1,11S11R1,4S4R100,10S10R1,12S12R1,13S13R1
Bacteroides vulgatus
Bacteroides uniformis
Bacteroides fragilis
Bacteroides stercoris
Bacteroides dorei
Prevotella ruminicola
Bacteroides stercoris CAG:120
Bacteroides intestinalis CAG:315
Bacteroides uniformis CAG:3
Bacteroides intestinalis CAG:564
Bacteroides fragilis CAG:558
Bacteroides vulgatus CAG:6
Bacteroides dorei CAG:222
Bacteroides fragilis CAG:47